Summary data collected by the Greenhouse Gas Reporting Program for 2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This data was reported to EPA by facilities as of 9/26/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All emissions data is presented in units of metric tons of carbon dioxide equivalent using GWP's from IPCC's AR4 (see FAQs tab),,,,,,,,,,,,,,Total Facility Emissions by Gas,,,,,,,,,,,,Emissions by Process,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facility Id,FRS Id,Facility Name,City,State,Zip Code,Address,County,Latitude,Longitude,Primary NAICS Code,Industry Type (subparts),Industry Type (sectors),Total reported direct emissions,CO2 emissions (non-biogenic) ,Methane (CH4) emissions ,Nitrous Oxide (N2O) emissions ,HFC emissions,PFC emissions,SF6 emissions ,NF3 emissions,Other Fully Fluorinated GHG emissions,HFE emissions,Very Short-lived Compounds emissions,Other GHGs (metric tons CO2e),Biogenic CO2 emissions (metric tons),Stationary Combustion,Electricity Generation,Adipic Acid Production,Aluminum Production,Ammonia Manufacturing,Cement Production,Electronics Manufacture,Ferroalloy Production,Fluorinated GHG Production,Glass Production,HCFC–22 Production from HFC–23 Destruction,Hydrogen Production,Iron and Steel Production,Lead Production,Lime Production,Magnesium Production,Miscellaneous Use of Carbonates,Nitric Acid Production,Petroleum and Natural Gas Systems – Offshore Production,Petroleum and Natural Gas Systems – Processing,Petroleum and Natural Gas Systems – Transmission/Compression,Petroleum and Natural Gas Systems – Underground Storage,Petroleum and Natural Gas Systems – LNG Storage,Petroleum and Natural Gas Systems – LNG Import/Export,Petrochemical Production,Petroleum Refining,Phosphoric Acid Production,Pulp and Paper Manufacturing,Silicon Carbide Production,Soda Ash Manufacturing,Titanium Dioxide Production,Underground Coal Mines,Zinc Production,Municipal Landfills,Industrial Wastewater Treatment,Manufacture of Electric Transmission and Distribution Equipment,Industrial Waste Landfills,Is some CO2 collected on-site and used to manufacture other products and therefore not emitted from the affected manufacturing process unit(s)? (as reported under Subpart G or S),"Is some CO2 reported as emissions from the affected manufacturing process unit(s) under Subpart AA, G or P collected and transferred off-site or injected (as reported under Subpart PP)?",Does the facility employ continuous emissions monitoring? ,Date
1004377,110043803578,121 REGIONAL DISPOSAL FACILITY,MELISSA,TX,75454,3820 SAM RAYBURN HIGHWAY,COLLIN COUNTY,33.30,-96.54,562212,HH,Waste,"250,497.50",,"250,497.50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"250,497.50",,,,N,N,N,2017
1010040,110070082056,15-18565/15-18662,Hazard,KY,40701,4200 S. Hwy 15,PERRY COUNTY,37.22,-83.16,212112,FF,Other,"218,699.25",,"218,699.25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"218,699.25",,,,,,N,N,N,2017
1010085,110055519176,15-19015,Hazard,KY,41701,1845 S. KY HWY 15,PERRY COUNTY,37.24,-83.18,212112,FF,Other,"70,265.00",,"70,265.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"70,265.00",,,,,,N,N,N,2017
1012147,110070082172,17Z Gas Plant - Chevron USA Inc.,McKittrick,CA,93251,22845 Highway 33,,35.32,-119.63,211130,"C,NN-FRAC,W-PROC","Natural Gas and Natural Gas Liquids Suppliers,Petroleum and Natural Gas Systems","9,298.92","9,120.10",173.75,5.07,,,,,,,,,,"9,115.42",,,,,,,,,,,,,,,,,,,183.5,,,,,,,,,,,,,,,,,,N,N,N,2017
1000112,110019827286,23rd and 3rd,BROOKLYN,NY,11232,730 3rd Avenue,Kings,40.66,-74.00,221112,"C,D",Power Plants,"52,698.66","52,645.50",24.25,28.91,,,,,,,,,,65.00,"52,633.66",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,2017
1012037,110063753656,50 Buttes Gas Plant,Gillette,WY,82716,3669 South Hwy 50,CAMPBELL COUNTY,43.76,-105.79,213112,"C,W-PROC",Petroleum and Natural Gas Systems,"57,104.95","39,664.40","17,418.50",22.05,,,,,,,,,,"38,602.20",,,,,,,,,,,,,,,,,,,18502.748,,,,,,,,,,,,,,,,,,N,N,N,2017
1003742,110010392887,31st Street Landfill,WESTCHESTER,IL,60154,11700 W 31ST ST,COOK COUNTY,41.84,-87.92,562212,"C,HH",Waste,"29,026.80",146.80,"28,880.00",,,,,,,,,,,146.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"28,880.00",,,,N,N,N,2017
1003188,110000599273,3M BROWNWOOD,BROWNWOOD,TX,76801,4501 HIGHWAY 377 SOUTH,BROWN COUNTY,31.67,-99.00,326113,"C,N",Minerals,"36,202.26","36,165.00",17.00,20.26,,,,,,,,,,"36,006.36",,,,,,,,,195.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,2017
1005043,110035810799,3M CO,MAPLEWOOD,MN,55144,,RAMSEY COUNTY,44.95,-93.00,541712,C,Other,"76,595.41","76,516.20",36.00,43.21,,,,,,,,,,"76,595.41",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,2017
1003739,110000589159,3M CO - GUIN,GUIN,AL,35563,6675 US HIGHWAY 43,MARION COUNTY,33.97,-87.90,326113,"C,N",Minerals,"25,133.96","25,108.20",11.75,14.01,,,,,,,,,,"24,787.76",,,,,,,,,346.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,2017
